title,type,dates
Neko Musume Michikusa Nikki,Manga (? vols),Apr 2008 -
Sengoku Basara 3: Roar of Dragon,Manga (3 vols),Apr 2009 - Feb 2011
Pink Lady,Manhwa (6 vols),May 2007 - Feb 2009
Ookami-san Series,Novel (13 vols),Aug 2006 - Apr 2017
Dantalian no Shoka,Novel (8 vols),Feb 2008 - Feb 2011
Kore wa Zombie desu ka?,Manga (8 vols),Jan 2010 - Nov 2013
Hanazakari no Kimitachi e: Tribute,Manga (1 vols),Aug 2009 - Aug 2009
Yondemasu yo Azazel-san,Manga (16 vols),Oct 2007 - Dec 2018
Cardcaptor Sakura Extras,Manga (? vols),Jul 1998 - Apr 2000
Ore no Kouhai ga Konnani Kawaii Wake ga Nai,Manga (6 vols),May 2011 - May 2015
Ojousama no Untenshu,Manga (2 vols),Feb 2010 - Dec 2011
Hakuouki Shinsengumi Kitan,Novel (4 vols),Jan 2011 - Jul 2011
Aka ya Akashi ya Ayakashi no,Manga (10 vols),Feb 2012 - Jan 2017
Shaman King Zero,Manga (2 vols),Nov 2011 - Oct 2014
Junjou Drop,Manga (1 vols),Oct 2011 - Apr 2012
Tsumasaki ni Kourozu,Manga (1 vols),2011 - 2012
Romantica Clock,Manga (10 vols),Aug 2012 - Apr 2016
K Side:Blue,Novel (1 vols),Oct 2012 - Oct 2012
Stand Up!,Manga (4 vols),Jan 2012 - Apr 2018
ACCA: 13-ku Kansatsu-ka,Manga (6 vols),Jun 2013 - Oct 2016
Zai x 10,Manga (4 vols),Aug 2013 - Jul 2015
Magi: Sinbad no Bouken - Prototype,Manga (1 vols),Jan 2013 - Jan 2013
Endou-kun no Jikken Note,Manga (2 vols),Jul 2013 - Nov 2016
Toaru Ossan no VRMMO Katsudouki,Manga (? vols),Jun 2014 -
Chiisakobee,Manga (4 vols),Sep 2012 - Feb 2015
Uchi no Maou Kamimasen yo,Manga (4 vols),Jul 2014 - Nov 2015
"Durarara!! RE,Dollars-hen",Manga (? vols),Nov 2014 -
Fushigi no Kuni no Bird,Manga (? vols),Mar 2013 -
Kuro Hakubutsukan: Ghost and Lady,Manga (2 vols),Nov 2014 - Jun 2015
Baccano!,Manga (3 vols),Oct 2015 - Jan 2017
Dousoukai,One-shot (? vols),Apr 2015 - Apr 2015
Isekai Shokudou,Manga (4 vols),Nov 2016 - Jun 2019
Akuyaku Reijou nanode Last Boss wo Kattemimashita,Manga (? vols),Jun 2018 -
Kanojo ni Naritai Kimi to Boku,Manga (? vols),Jul 2018 -
Soredemo Ayumu wa Yosetekuru,Manga (? vols),Apr 2018 -
Toaru Majutsu no Index Gaiden: Toaru Kagaku no Dark Matter,Manga (? vols),Aug 2019 -
Basilisk: Kouga Ninpouchou,Manga (5 vols),Feb 2003 - Jun 2004
Modotte! Mamotte! Lollipop,Manga (6 vols),2006 - 2008
Sugar Sugar Rune,Manga (8 vols),Aug 2003 - Apr 2007
Vampire Knight,Manga (19 vols),Nov 2004 - May 2013
Night of the Beasts,Manga (6 vols),Oct 1996 - May 1999
Papillon: Hana to Chou,Manga (8 vols),Jul 2007 - Nov 2009
Happy World!,Manga (11 vols),May 2000 - May 2006
Kabu no Isaki,Manga (6 vols),Jun 2007 - Nov 2012
Kodoku no Gourmet,Manga (2 vols),Jun 1994 - May 2015
Togainu no Chi,Manga (1 vols),2005 - 2008
Hadashi de Bara wo Fume,Manga (9 vols),Nov 2007 - Mar 2012
Ikoku Meiro no Croisée,Manga (2 vols),Jun 2006 - 2011
Gyutto Shite Chuu,Manga (1 vols),2008 - 2008
Boku to Issho,Manga (4 vols),Aug 1997 - Oct 1999
Do-Re-Mi-Fa-Sol-La-Si-Do,Manhwa (2 vols),-2003
Rurouni Kenshin: Haru ni Sakura,One-shot (? vols),Dec 1999 - Dec 1999
Aozora Yell,Manga (19 vols),Aug 2008 - Oct 2015
Ichi,Manga (7 vols),Oct 2008 - Aug 2011
Mukashi no Hanashi,Manga (1 vols),2001 - 2001
Togainu no Chi,Manga (? vols),Mar 2006 -
Fly-High!,Manga (3 vols),Oct 2008 - Oct 2009
Kindaichi Shounen no Jikenbo - Short File Series,Manga (6 vols),Jun 1997 - Aug 2000
Musunde Hiraite,Manga (8 vols),Sep 2009 - Aug 2013
Hannune Banhada! Season 2,Manhwa (11 vols),2007 - 2013
Anniversary no Kuni no Alice: Tokeiya,Manga (1 vols),Mar 2010 - Mar 2010
Etsusa Oohashi Series,Novel (4 vols),Dec 2003 - May 2006
Denpa Onna to Seishun Otoko,Novel (9 vols),Jan 2009 - Apr 2011
Sensei no Kaban,Manga (2 vols),Nov 2008 -
Tokyo Ravens,Manga (15 vols),Apr 2010 - Jul 2017
Sugar Dark: Umerareta Yami to Shoujo,Manga (4 vols),Jun 2010 - Dec 2011
Koisuru Barairo Tenchou,Manga (1 vols),Nov 2009 - Jul 2010
Crows Gaiden,Manga (2 vols),1995 - 1998
Chibi Miku-san,Manga (? vols),Jun 2008 -
Hana no Saku Koro,Manga (? vols),May 2011 -
Sugar Apple Fairy Tale,Novel (17 vols),Apr 2010 - Feb 2015
Ichi Ni no San!,Manga (1 vols),2011 - 2011
Ma no Kakera,Manga (1 vols),Apr 2013 - Apr 2014
Knight's & Magic,Novel (? vols),Jan 2013 -
Okobore Hime to Entaku no Kishi,Manga (? vols),Jun 2013 -
Bread & Butter,Manga (? vols),Sep 2013 -
Perfect World,Manga (? vols),Mar 2014 -
Shokugeki no Souma: L'étoile,Manga (8 vols),Feb 2015 - Jun 2019
Number Call,Manga (1 vols),Nov 2013 - Jun 2014
Rosario to Vampire,Novel (1 vols),Aug 2008 - Aug 2008
Levius/est,Manga (? vols),Apr 2015 -
Miira no Kaikata,Manga (? vols),Nov 2014 -
Moral Sense,Manhwa (? vols),Mar 2015 -
Oroka na Tenshi wa Akuma to Odoru,Manga (? vols),Jun 2016 -
Mahouka Koukou no Rettousei: Double Seven-hen,Manga (? vols),Oct 2016 -
Kusunoki Mebuki wa Yuusha de Aru,Novel (1 vols),Jun 2017 - Nov 2017
Xi Xing Ji,Manhua (? vols),Jun 2015 -
Nozomanu Fushi no Boukensha,Manga (? vols),Nov 2017 -
Chao Hua Xi Shi,Manhua (? vols),Dec 2015 - Jan 2018
Kaibutsu Oujo,Manga (20 vols),Jun 2005 - Feb 2013
Bremen,Manga (9 vols),Dec 1999 - Sep 2001
3x3 Eyes,Manga (40 vols),Nov 1987 - Aug 2002
Happy!,Manga (23 vols),Oct 1993 - Mar 1999
Sugar Addiction,Manhwa (5 vols),2005 - 2005
Shin Kidou Senki Gundam Wing: Episode Zero,Manga (1 vols),Jul 1997 - Jul 1997
Purikyuu,Manga (1 vols),2005 - 2005
Zippy Ziggy,Manhwa (11 vols),Apr 2005 -
Uchuu Kaizoku Captain Herlock,Manga (5 vols),1977 - 1979
Very! Very! Sweet,Manhwa (8 vols),-2006
Dear Waltz,Manhwa (9 vols),2007 - 2010
Hikari no Machi,Manga (1 vols),Apr 2004 - Jan 2005
Code:Breaker,Manga (26 vols),Jun 2008 - Jul 2013
Kigi no Yukue,Manga (1 vols),-2007
Cocoa!,Manga (1 vols),-
Hakushaku to Yousei,Manga (4 vols),Aug 2008 - Apr 2010
Waga Na wa Umishi,Manga (15 vols),Jul 2004 - Dec 2007
Kodomo wa Tomaranai,Manga (2 vols),-
Fuyu no Doubutsuen,Manga (1 vols),2005 - 2007
Sougiya Riddle,Manga (8 vols),May 2009 - Mar 2013
Sengoku Danshi Hana no Ran,Manga (5 vols),2009 - 2009
Sorairo Koiiro,Manga (1 vols),Oct 2008 - Mar 2009
Amagami: Precious Diary,Manga (5 vols),Nov 2009 - Mar 2012
Mobile Suit Gundam: The Gihren Assassination Plot,Manga (4 vols),Aug 2007 - Jan 2010
Tsumi to Batsu: A Falsified Romance,Manga (10 vols),Jan 2007 - Mar 2011
I Will Be Cinderella,Manhwa (20 vols),-
Ayakashi Hisen,Manga (12 vols),Jan 2011 - Jan 2014
Seishun Forget!,Manga (4 vols),Feb 2011 - Sep 2012
Hell's Kitchen,Manga (13 vols),Feb 2010 - Aug 2014
Hotel: since 2079,One-shot (? vols),2004 - 2004
Summer Wars,Novel (1 vols),Jul 2009 - Jul 2009
Papa to Mama Hajimemashita,Manga (2 vols),Dec 2011 - May 2012
Nobunaga Concerto,Manga (? vols),May 2009 -
Again!!,Manga (12 vols),Apr 2011 - Apr 2014
Ginzatoushi to Kuro no Yousei: Sugar Apple Fairy Tale,Manga (2 vols),Nov 2012 - Oct 2014
Real Girl,Manga (12 vols),Jul 2011 - May 2016
Outbreak Company: Moeru Shinryakusha,Novel (18 vols),Dec 2011 - Aug 2017
Seiken Tsukai no World Break,Novel (22 vols),Nov 2012 - Jun 2018
Hatsu*Haru,Manga (13 vols),Jan 2014 - Apr 2018
Yuuki Yuuna wa Yuusha de Aru: Sonogo no Sonoko,Novel (? vols),Jan 2015 - Jan 2015
Grisaia no Meikyuu: Sanctuary Fellows,Manga (1 vols),Dec 2014 - Mar 2015
Shingeki no Kyojin: Lost Girls,Manga (2 vols),Aug 2015 - May 2016
Mitsuyokon: Tsukumogami no Yomegoryou,Manga (8 vols),Jul 2015 - Mar 2019
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,Novel (? vols),Aug 2016 -
Sono Mono Nochi ni,Novel (12 vols),Aug 2016 - Apr 2019
Musuko ga Kawaikute Shikataganai Mazoku no Hahaoya,Manga (? vols),May 2016 -
Marry Grave,Manga (5 vols),Dec 2017 - Jan 2019
Persona 5: Mementos Mission,Manga (? vols),Oct 2018 -
Odd Girl Out,Manhwa (? vols),May 2015 -
666 Satan,Manga (19 vols),Aug 2001 - Dec 2007
Flower of Life,Manga (4 vols),May 2004 - Jun 2007
Tuxedo Gin,Manga (15 vols),Mar 1997 - Jan 2000
Eden no Hana,Manga (12 vols),2000 - 2004
BODY,Manga (15 vols),Oct 2003 - Jan 2009
Kaikan♥Phrase,Manga (18 vols),Mar 1997 - 2000
Psychometrer Eiji,Manga (25 vols),Apr 1996 - Sep 2000
Shounen Zanzou,Manga (1 vols),Mar 1998 - Mar 1998
Ou-sama no Shichiya,Manga (1 vols),Jul 2006 - Jul 2006
Sekai de Ichiban Dai Kirai,Manga (13 vols),Mar 1998 - Sep 2001
Joshikousei: Girls-High,Manga (13 vols),2000 - Jun 2016
Eensy-Weensy Monster,Manga (2 vols),Oct 2006 - Sep 2007
Kinnikuman,Manga (? vols),May 1979 -
Kiss x Sis,Manga (? vols),Dec 2005 -
Koukou Tekkenden Tough,Manga (42 vols),1993 - 2003
Gin to Kin,Manga (11 vols),1992 - 1996
Plants Doll,Manga (4 vols),1991 - 1999
Astral Project: Tsuki no Hikari,Manga (4 vols),Mar 2004 - Feb 2007
Kirameki☆Gingachou Shoutengai,Manga (10 vols),Jun 2005 - Feb 2009
Nicoichi,Manga (10 vols),Dec 2004 - Jan 2012
Kimi no Iru Basho - Real x Fake,Manga (2 vols),-2007
Fire Emblem: Genealogy of the Holy War,Manga (16 vols),-1999
Romance Papa,Manhwa (8 vols),Dec 2007 - Dec 2008
Love Hina,Novel (2 vols),May 2001 - Feb 2002
Show Princess,Manhua (7 vols),2007 - 2011
Umimachi Diary,Manga (9 vols),Jun 2006 - Sep 2018
Yongbi Bulpae Oejeon,Manhwa (? vols),-2006
Kongou Banchou,Manga (12 vols),Oct 2007 - Mar 2010
Tsuki no Waltz,Manga (1 vols),2008 - 2009
"""Bungaku Shoujo"" to Shi ni Tagari no Pierrot",Manga (3 vols),Jun 2008 - Oct 2010
He Loves You,Manga (1 vols),Dec 2010 - Dec 2010
Hajimete no Aku,Manga (16 vols),May 2008 - Jun 2012
Utsurowazarumono: Breath of Fire IV,Manga (5 vols),Oct 2007 - Jan 2010
Kaizoku to Ningyo,Manga (? vols),Dec 2007 -
Kizu,Manga (1 vols),Jul 2007 - Dec 2007
Sengoku Basara 2,Manga (4 vols),-2007
Cuticle Tantei Inaba,Manga (19 vols),Aug 2007 - Mar 2017
Kiken Chitai Danshi: Kedamono Black & White,Manga (3 vols),Jun 2009 - Feb 2010
Tokyo ESP,Manga (16 vols),Feb 2010 - Jul 2016
Sono Kuchibiru Itadakimasu,Manga (1 vols),Dec 2009 - Dec 2009
Warui Koto Bakkashite Gomennasai,Manga (1 vols),2008 - 2008
Tokyo Rock Shounen,Manga (1 vols),Feb 2009 - Aug 2009
Suashi no Meteorite,Manga (5 vols),Jan 2011 - Jan 2011
Kuutei Kaiko Toshi,Manga (4 vols),Apr 2010 - Nov 2015
Sword Art☆Online,Manga (3 vols),Aug 2010 - Aug 2016
Le Théâtre de A,Manga (1 vols),May 2005 - Nov 2008
Satou-kun no Juunan Seikatsu,Manga (5 vols),Mar 2005 - 2015
Yuyushiki,Manga (? vols),Jan 2008 -
Boku no Ie ni Oide,Manga (10 vols),Dec 2012 - Feb 2017
Shuuen no Shiori,Manga (7 vols),Dec 2012 - Dec 2015
Wet Moon,Manga (3 vols),May 2011 - Oct 2013
Boukyaku no Shirushi to Hime,Manga (7 vols),Nov 2011 - Sep 2014
Karneval Anthology,Manga (1 vols),Jun 2013 - Jun 2013
Nejimaki Seirei Senki: Tenkyou no Alderamin,Manga (7 vols),May 2014 - May 2017
Hakoiri Drops,Manga (6 vols),Mar 2011 - Jun 2017
Konohana Kitan,Manga (? vols),Dec 2014 -
Short Cake Cake,Manga (? vols),Nov 2015 -
Hokuhokusei ni Kumo to Ike,Manga (? vols),Mar 2016 -
Ne Ne Ne,Manga (1 vols),Jul 2016 - Aug 2017
Tondemo Skill de Isekai Hourou Meshi,Manga (? vols),Mar 2017 -
Henkyou no Roukishi Bard Loen,Manga (? vols),Sep 2016 -
Genjitsu Shugi Yuusha no Oukoku Saikenki,Manga (? vols),Jul 2017 -
Kakuriyo no Yadomeshi: Ayakashi Oyado ni Yomeiri shimasu,Manga (? vols),Apr 2016 -
Tenju no Kuni,Manga (? vols),Oct 2017 -
Blue Hearts,Manga (? vols),Nov 2018 -
Juu Ou Sei,Manga (5 vols),1993 - 2003
Kingdom Hearts: Chain of Memories,Manga (2 vols),Mar 2005 - Mar 2006
Kagetora,Manga (11 vols),Nov 2001 - Sep 2006
Nishi no Yoki Majo,Manga (7 vols),Dec 2003 - May 2007
Blood+ Adagio,Manga (2 vols),Jul 2005 - Oct 2006
Hyouryuu Kyoushitsu,Manga (11 vols),1972 - 1974
Level E,Manga (3 vols),Sep 1995 - Dec 1996
Saboten no Himitsu,Manga (4 vols),Dec 2003 - Apr 2005
Baron: Neko no Danshaku,Manga (1 vols),Mar 2002 - Mar 2002
Endou Hiroki Tanpenshuu,Manga (2 vols),Dec 1995 - Feb 2001
Switch Girl!!,Manga (25 vols),Aug 2006 - Jan 2014
Full House Kiss,Manga (6 vols),Jun 2004 - Jan 2008
Vanilla Ice,Manhwa (4 vols),2002 - Feb 2004
Pyuu to Fuku! Jaguar,Manga (20 vols),Aug 2000 - Aug 2010
Helter Skelter,Manga (1 vols),Jun 1995 - Mar 1996
Ahiru no Sora,Manga (? vols),Dec 2003 -
Grand Sun,Manga (3 vols),2007 - 2007
Help!!,Manga (1 vols),2003 - 2004
Ginga Densetsu Weed,Manga (60 vols),May 1999 - Jul 2009
Godhand Teru,Manga (62 vols),Jul 2000 - Apr 2012
A Kiss to the Prince,Manhwa (5 vols),Aug 2006 - Oct 2007
Yasashii Ryuu no Koroshikata,Manga (5 vols),Oct 2005 - Jul 2009
Crash!,Manga (16 vols),Apr 2007 - Nov 2013
Hana ni Arashi,Manga (2 vols),Dec 2005 - Aug 2008
Boyfriend,Manga (3 vols),Mar 2009 - Jan 2010
Ring,Novel (1 vols),-1991
Fate/kaleid liner Prisma☆Illya 2wei!,Manga (5 vols),Apr 2009 - Mar 2012
Gisèle Alain,Manga (? vols),Jun 2009 -
Chibi Maruko-chan,Manga (15 vols),Aug 1986 - Apr 2009
Sayuki,Manga (8 vols),Apr 1995 - Oct 1998
Red,Manga (7 vols),May 1999 -
Sugar*Soldier,Manga (10 vols),Aug 2011 - Jun 2015
Minamoto-kun Monogatari,Manga (16 vols),Sep 2011 - Sep 2019
Hitoribocchi no Chikyuu Shinryaku,Manga (15 vols),Mar 2012 - Sep 2018
Time Killers,Manga (1 vols),Aug 2000 - Sep 2008
Pellua Iyagi,Manhwa (? vols),-2012
Ito Junji Kyoufu Manga Collection - Flesh-Colored Horror,Manga (1 vols),Nov 1988 - May 1994
Ito Junji Kyoufu Manga Collection - Namekuji no Shoujo,Manga (1 vols),1998 - Oct 1998
Keyman: The Hand of Judgement,Manga (13 vols),Apr 2011 - Dec 2016
Hajimete wo Anata to,Manga (1 vols),2009 - 2011
Akame ga Kill! Zero,Manga (10 vols),Oct 2013 - Jan 2019
Love Riron,Manga (5 vols),Jun 2012 - Jun 2014
Xu Ge Yuan Ba! Da Xi,Manhua (5 vols),2011 - 2014
K: The First,Manga (3 vols),Dec 2013 - Apr 2015
Seishun Otome Banchou!,Manga (3 vols),Jul 2012 - Jan 2014
Museum,Manga (3 vols),Jul 2013 - Feb 2014
Ousama ni Sasagu Kusuriyubi,Manga (8 vols),Jun 2014 - Nov 2017
Psyche Matashitemo,Manga (15 vols),Jul 2014 - Dec 2018
Isekai Shokudou,Novel (? vols),Feb 2015 -
Barairo no Yakusoku,Manga (? vols),Dec 2014 -
Grisaia no Rakuen: Sanctuary Fellows,Manga (1 vols),Apr 2015 - Aug 2015
Boruto: Naruto the Movie,Novel (1 vols),Aug 2015 - Aug 2015
Jashin Average,Novel (3 vols),Sep 2015 - May 2016
Bakuman Bangai-hen,Manga (? vols),Sep 2015 - Sep 2015
Kenka Banchou Otome: Koi no Battle Royal,Manga (2 vols),Jul 2015 - Jan 2017
Ore wo Suki nano wa Omae dake ka yo,Novel (? vols),Feb 2016 -
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,Manga (4 vols),Jul 2016 - May 2018
Chi no Wadachi,Manga (? vols),Feb 2017 -
Toritan,Manga (? vols),Mar 2017 -
Takane no Ran-san,Manga (? vols),Jul 2017 -
Kyoufu no Juusou,One-shot (? vols),Feb 2017 - Feb 2017
Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso Tensei shite Shison-tachi no Gakkou e Kayou,Novel (? vols),Mar 2018 -
Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso Tensei shite Shison-tachi no Gakkou e Kayou,Manga (? vols),Jul 2018 -
Kowloon Generic Romance,Manga (? vols),Nov 2019 -
Karin Zouketsuki,Novel (9 vols),Dec 2003 - May 2007
Suppli,Manga (10 vols),Oct 2003 - Nov 2009
Tennen Pearl Pink,Manga (4 vols),2002 - 2004
Yurara no Tsuki,Manga (5 vols),Feb 2003 - 2005
Code Name wa Sailor V,Manga (3 vols),1991 - 1997
Oyayubihime Infinity,Manga (6 vols),2004 - May 2006
Monster Collection: Majuu Tsukai no Shoujo,Manga (6 vols),1997 - 2001
Heads,Manga (4 vols),Jul 2002 - Apr 2003
Change Guy,Manhwa (31 vols),1998 - 2004
Nagatachou Strawberry,Manga (5 vols),Dec 2002 - Sep 2004
Five,Manga (15 vols),2004 - Feb 2011
Hitsuji no Namida,Manga (7 vols),Apr 2002 - Mar 2004
Nijiiro Tougarashi,Manga (11 vols),1990 - 1992
Star Project Chiro,Manhwa (12 vols),2004 - 2009
Kiken Junai DNA,Manga (3 vols),Aug 2007 - May 2008
Hanshin,Manga (1 vols),1972 - 1985
B-Eyes,Manga (4 vols),-2000
Pokémon Pocket Monsters,Manga (14 vols),Nov 1996 - Apr 2003
Forget About Love,Manhwa (7 vols),-
Kinou Nani Tabeta?,Manga (? vols),Feb 2007 -
Idol Shopping,Manhwa (12 vols),Dec 2008 - Feb 2009
Bitou Lollipop,Manga (7 vols),Aug 2006 - Jul 2009
Aozora no Sunda Iro wa,Manga (1 vols),Sep 2008 -
Hannune Banhada! Season 1,Manhwa (4 vols),2006 - 2006
Monochrome Kitan,Manga (2 vols),Feb 2009 - Sep 2010
Mishounen Produce,Manga (4 vols),Nov 2008 - Jan 2011
Kentou Ankokuden Cestvs,Manga (15 vols),Nov 1997 - Mar 2009
Wa!,Manga (3 vols),Oct 2008 - Mar 2011
Corpse Party: Blood Covered,Manga (10 vols),Aug 2008 - Oct 2012
Sengoku Basara Series Official Anthology Comic: Gakuen Basara,Manga (8 vols),Jul 2007 - Mar 2015
Natsuyuki Rendezvous,Manga (4 vols),Jun 2009 - Dec 2011
Kyoukotsu no Yume,Manga (5 vols),Jul 2010 - Oct 2012
A-Channel,Manga (? vols),Dec 2008 -
Choujigen Game Neptune: Megami Tsuushin,Manga (4 vols),Nov 2010 - Dec 2013
Higurashi no Naku Koro ni Jan: Tsubamegaeshi-hen,Manga (2 vols),Jan 2010 - Feb 2011
Hentai Ouji to Warawanai Neko,Manga (8 vols),Apr 2011 - Feb 2018
Bleach Unmasked Short Stories,Manga (? vols),Jun 2011 - Jun 2011
Toaru Majutsu no Index SP,Novel (1 vols),Aug 2011 - Aug 2011
Miss Princess!,Manga (4 vols),Nov 2010 - Feb 2012
Mahoutsukai to Koi no Biyaku,One-shot (? vols),2011 - 2011
Lindbergh,Manga (8 vols),May 2009 - Apr 2013
Ore ga Doutei wo Sutetara Shinu Ken ni Tsuite,Manga (4 vols),May 2012 - Apr 2014
Love Live!,Manga (? vols),Jan 2012 -
Akaiito,Manga (9 vols),Aug 2012 - Jul 2015
Marginal Operation,Manga (? vols),May 2013 -
Boku Girl,Manga (11 vols),Dec 2013 - May 2016
Clockwork Planet,Manga (10 vols),Sep 2013 - Aug 2018
Itsuka Tomodachi ja Nakunaru to Shite mo,Manga (1 vols),Oct 2012 - Oct 2012
Rudolf Turkey,Manga (7 vols),Oct 2012 - Nov 2017
Rurouni Kenshin Uramaku: Honoo wo Suberu,Manga (1 vols),Jul 2014 - Sep 2014
Kenja no Deshi wo Nanoru Kenja,Novel (? vols),Jun 2014 -
Reincarnation no Kaben,Manga (? vols),May 2014 -
Selector Infected WIXOSS: Peeping Analyze,Manga (2 vols),Jul 2014 - May 2015
Kominato Ryousuke Special Bangai-hen: Face,One-shot (? vols),May 2014 - May 2014
Konjiki no Word Master: Yuusha Yonin ni Makikomareta Unique Cheat,Manga (? vols),Oct 2014 -
Shigatsu wa Kimi no Uso: 6-nin no Études,Novel (1 vols),Nov 2014 - Nov 2014
Slow Days,Manga (1 vols),Nov 2012 - Apr 2014
