title,type,dates
Tonikaku Kawaii,Manga (? vols),Feb 2018 -
NHK ni Youkoso!,Manga (8 vols),Dec 2003 - Apr 2007
Koukou Debut,Manga (15 vols),Aug 2003 - May 2013
Trigun Maximum,Manga (14 vols),Jul 1998 - Feb 2008
City Hunter,Manga (35 vols),Feb 1985 - Nov 1991
The Legend of the Sun Knight,Novel (8 vols),Jul 2007 - Nov 2011
Rokujouma no Shinryakusha!?,Novel (? vols),Mar 2009 -
Sasaki to Miyano,Manga (? vols),Feb 2016 -
Spirit Fingers,Manhwa (? vols),May 2015 -
Chrno Crusade,Manga (8 vols),Dec 1998 - May 2004
Wild Adapter,Manga (? vols),-2001
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Manga (16 vols),Mar 1989 - Apr 1992
Rookies,Manga (24 vols),Feb 1998 - Aug 2003
Fushigi Yuugi: Genbu Kaiden,Manga (12 vols),Mar 2003 - Feb 2013
Kyoukaisenjou no Horizon,Novel (29 vols),Sep 2008 - Dec 2018
Aku no Hana,Manga (11 vols),Sep 2009 - May 2014
Hikaru ga Chikyuu ni Ita Koro,Novel (10 vols),May 2011 - Apr 2014
Nekota no Koto ga Kininatte Shikatanai,Manga (10 vols),Apr 2013 - Dec 2016
The Reason Why Raeliana Ended up at the Duke's Mansion,Manhwa (? vols),Sep 2017 -
Boku no Chikyuu wo Mamotte,Manga (21 vols),1987 - 1994
Sayonara Zetsubou Sensei,Manga (30 vols),Apr 2005 - Jun 2012
Bokurano,Manga (11 vols),Nov 2003 - Jun 2009
Majin Tantei Nougami Neuro,Manga (23 vols),Feb 2005 - Apr 2009
Adolf ni Tsugu,Manga (4 vols),Dec 1983 - May 1985
Crows,Manga (26 vols),1990 - 1998
One Piece: Strong World,One-shot (? vols),Nov 2009 - Dec 2009
Hoshi Mamoru Inu,Manga (1 vols),Jul 2008 - Jan 2009
Date A Live,Novel (? vols),Mar 2011 -
Shokugeki no Souma,Manga (36 vols),Nov 2012 - Aug 2019
Cardcaptor Sakura: Clear Card-hen,Manga (? vols),Jun 2016 -
Saihate no Paladin,Novel (? vols),Mar 2016 -
Hitori Koukan Nikki,Manga (2 vols),May 2016 - Nov 2017
Katekyo Hitman Reborn!,Manga (42 vols),May 2004 - Nov 2012
Maison Ikkoku,Manga (15 vols),Oct 1980 - Apr 1987
Shijou Saikyou no Deshi Kenichi,Manga (61 vols),Aug 2002 - Sep 2014
JoJo no Kimyou na Bouken Part 6: Stone Ocean,Manga (17 vols),Dec 1999 - Apr 2003
Kamigami no Itadaki,Manga (5 vols),Feb 2000 - Mar 2003
Hataraku Maou-sama!,Novel (? vols),Feb 2011 -
